Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards,Fantasy_Reception_Points,Fantasy_RecivingYD_Points,Fantasy_ReceptionTD_Points,Fantasy_Standard_Reciving_Total
drew-brees,2013,NewOrleansSaints,16,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2014,NewOrleansSaints,16,1,1,1,1,0,0,0,0,0,1,0.1,0,0.1
drew-brees,2015,NewOrleansSaints,15,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2016,NewOrleansSaints,16,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2017,NewOrleansSaints,16,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2018,NewOrleansSaints,15,1,1,1,1,0,0,0,0,0,1,0.1,0,0.1
drew-brees,2019,NewOrleansSaints,11,0,0,0,0,0,0,0,0,0,0,0,0,0
drew-brees,2020,NewOrleansSaints,12,0,0,0,0,0,0,0,0,0,0,0,0,0
ben-braunecker,2016,ChicagoBears,13,4,41,10.3,14,0,2,50,0,0,4,4.1,0,4.1
ben-braunecker,2017,ChicagoBears,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ben-braunecker,2018,ChicagoBears,15,3,42,14,20,0,2,66.67,1,0,3,4.2,0,4.2
ben-braunecker,2019,ChicagoBears,11,6,59,9.8,18,1,5,83.33,0,0,6,5.9,6,11.9
cameron-brate,2014,TampaBayBuccaneers,5,1,17,17,17,0,1,100,0,0,1,1.7,0,1.7
cameron-brate,2015,TampaBayBuccaneers,14,23,288,12.5,46,3,14,60.87,5,1,23,28.8,18,46.8
cameron-brate,2016,TampaBayBuccaneers,15,57,660,11.6,38,8,40,70.18,5,0,57,66,48,114
cameron-brate,2017,TampaBayBuccaneers,16,48,591,12.3,35,6,33,68.75,5,0,48,59.1,36,95.1
cameron-brate,2018,TampaBayBuccaneers,16,30,289,9.6,21,6,18,60,2,0,30,28.9,36,64.9
cameron-brate,2019,TampaBayBuccaneers,16,36,311,8.6,37,4,21,58.33,1,0,36,31.1,24,55.1
cameron-brate,2020,TampaBayBuccaneers,16,28,282,10.1,25,2,17,60.71,2,0,28,28.2,12,40.2
tom-brady,2000,NewEnglandPatriots,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2001,NewEnglandPatriots,15,1,23,23,23,0,1,100,1,0,1,2.3,0,2.3
tom-brady,2002,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2003,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2004,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2005,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2006,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2007,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2008,NewEnglandPatriots,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2009,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2010,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2011,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2012,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2013,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2014,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2015,NewEnglandPatriots,16,1,36,36,36,0,1,100,1,0,1,3.6,0,3.6
tom-brady,2016,NewEnglandPatriots,12,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2017,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2018,NewEnglandPatriots,16,1,6,6,6,0,0,0,0,0,1,0.6,0,0.6
tom-brady,2019,NewEnglandPatriots,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-brady,2020,TampaBayBuccaneers,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ja-marcus-bradley,2020,ClevelandBrowns,3,5,60,12,22,0,2,40,1,0,5,6,0,6
garrett-bradbury,2019,MinnesotaVikings,16,1,-4,-4,-4,0,0,0,0,0,1,-0.4,0,-0.4
garrett-bradbury,2020,MinnesotaVikings,16,0,0,0,0,0,0,0,0,0,0,0,0,0
nick-boyle,2015,BaltimoreRavens,11,18,153,8.5,25,0,10,55.56,1,0,18,15.3,0,15.3
nick-boyle,2016,BaltimoreRavens,6,6,44,7.3,20,0,1,16.67,1,0,6,4.4,0,4.4
nick-boyle,2017,BaltimoreRavens,15,28,203,7.3,16,0,11,39.29,0,0,28,20.3,0,20.3
nick-boyle,2018,BaltimoreRavens,16,23,213,9.3,25,0,10,43.48,1,0,23,21.3,0,21.3
