Player_Id,Year,Fumbles,Rushing_Yards,Receiving_Yards,Rushing_TD,Receptions,Recieving_TD,Fantasy_Reception_Points,Fantasy_Rushing_Points,Fantasy_Standard_Reciving_Points,Total_Standard,Total_PPR
lesean-mccoy,2013,3,1267,539,13,52,2,52,204.7,65.9,267.6,319.6
demaryius-thomas,2013,0,5,1430,0,92,14,92,0.5,227,227.5,319.5
le-veon-bell,2014,1,860,854,8,83,3,83,134,103.4,236.4,319.4
odell-beckham,2015,0,3,1450,0,96,13,96,0.3,223,223.3,319.3
travis-kelce,2020,0,4,1416,1,105,11,105,6.4,207.6,214,319
marshawn-lynch,2014,4,1590,367,11,37,4,37,225,60.7,281.7,318.7
devonta-freeman,2015,2,1056,578,11,73,3,73,171.6,75.8,245.39999999999998,318.4
demaryius-thomas,2013,1,1,1430,0,92,14,92,0.1,227,226.1,318.1
lesean-mccoy,2017,3,1267,448,13,59,2,59,204.7,56.8,258.5,317.5
aaron-jones,2019,2,1084,474,16,49,3,49,204.4,65.4,267.8,316.8
adrian-peterson,2011,3,2097,139,12,18,1,18,281.7,19.9,298.59999999999997,316.59999999999997
dez-bryant,2014,0,5,1320,0,88,16,88,0.5,228,228.5,316.5
adrian-peterson,2010,6,1383,341,18,36,1,36,246.3,40.1,280.40000000000003,316.40000000000003
dez-bryant,2014,0,1,1320,0,88,16,88,0.1,228,228.1,316.1
frank-gore,2010,5,1695,452,8,46,2,46,217.5,57.2,269.7,315.7
larry-fitzgerald,2008,0,41,1431,0,96,12,96,4.1,215.1,219.2,315.2
frank-gore,2007,5,1695,436,8,53,1,53,217.5,49.6,262.1,315.1
josh-gordon,2013,0,88,1646,0,87,9,87,8.8,218.6,227.4,314.4
le-veon-bell,2016,3,1268,616,7,75,2,75,168.8,73.6,239.4,314.4
deandre-hopkins,2017,0,18,1378,0,96,13,96,1.8,215.8,217.60000000000002,313.6
adrian-peterson,2009,9,1760,436,10,43,0,43,236,43.6,270.6,313.6
alvin-kamara,2017,1,728,826,8,81,5,81,120.8,112.6,232.39999999999998,313.4
